Unnamed: 0,ppl,thumbnail,deepfake_score
35,Kamala Harris,https://1a-1791.com/video/fwe1/0c/s8/1/k/R/9/N/kR9Nw.oq1b.2-small-Biden-Is-Destroying-The-Cou.jpg,5.087705972073309e-07
36,Kamala Harris,https://1a-1791.com/video/fww1/42/s8/1/m/M/2/t/mM2ty.oq1b.2-small--From-Hunter-Bidens-Securit.jpg,5.197732799722132e-10
37,Kamala Harris,https://1a-1791.com/video/fw/s8/1/z/6/R/l/z6Rlv.oq1b.2-small-Bidens-Reign-Of-Destruction.jpg,3.5040645798289916e-06
38,Kamala Harris,https://1a-1791.com/video/fww1/9e/s8/1/9/r/p/X/9rpXy.oq1b.2-small-HATIANS.jpg,1.7563007759235916e-07
39,Kamala Harris,https://1a-1791.com/video/fww1/3d/s8/1/c/J/1/t/cJ1ty.oq1b.2-small-Tucker-Carlson-on-the-Biden.jpg,2.603686652946635e-06
40,Kamala Harris,https://1a-1791.com/video/fww1/57/s8/1/V/v/i/O/VviOy.oq1b.2-small-Democrats-NEW-CON-Tapper-Cl.jpg,1.8790873301810507e-09
41,Kamala Harris,https://1a-1791.com/video/fww1/d0/s8/1/V/t/2/I/Vt2Iy.oq1b.2-small-Biden-Resurfaces-In-Mind-Bo.jpg,5.09968201001243e-09
42,Kamala Harris,https://1a-1791.com/video/fww1/4a/s8/1/D/g/M/G/DgMGy.oq1b.2-small-Which-Cabinet-Member-Was-Th.jpg,1.1388528037059586e-05
43,Kamala Harris,https://1a-1791.com/video/fww1/46/s8/1/9/W/O/P/9WOPy.oq1b.b-small-Trump-SLAMS-Biden-Over-Boul.jpg,3.101060883636819e-07
44,JD Vance,https://1a-1791.com/video/fww1/cb/s8/1/J/C/h/X/JChXy.oq1b.5-small-Is-The-Biden-Autopen-Scanda.jpg,3.0265990062616765e-05
45,JD Vance,https://1a-1791.com/video/fww1/6a/s8/1/f/E/H/P/fEHPy.oq1b.2-small-6.2.25-NO-Joe-Biden-Watch-t.jpg,
46,JD Vance,https://1a-1791.com/video/fww1/b5/s8/1/J/c/1/R/Jc1Ry.oq1b.2-small-LIVE-WITH-JULIE.jpg,1.5805265718427108e-07
47,JD Vance,https://1a-1791.com/video/fww1/e9/s8/1/l/X/Y/L/lXYLy.oq1b.2-small--Explaining-the-Black-Fatig.jpg,1.0747543655043046e-07
48,JD Vance,https://1a-1791.com/video/fww1/8b/s8/1/P/9/F/L/P9FLy.oq1b.5-small--Joe-Bidens-Cancer-Diagnosi.jpg,1.5578788747916406e-07
49,JD Vance,https://1a-1791.com/video/fww1/b3/s8/1/B/r/P/U/BrPUy.oq1b.1-small-Hidin-Joe-Biden.jpg,3.736065323778348e-08
50,JD Vance,https://1a-1791.com/video/fww1/2a/s8/1/T/H/O/W/THOWy.oq1b.2-small-Biden-Aid-CONFESSES-to-Cong.jpg,1.0509011190151796e-06
51,JD Vance,https://1a-1791.com/video/fww1/03/s8/1/h/w/0/U/hw0Uy.oq1b.2-small-Dems-Boycott-Probe-on-Biden.jpg,1.260408595271656e-07
52,JD Vance,https://1a-1791.com/video/s8/1/D/q/m/a/Dqmau.oq1b.2-small-Its-So-Bad-They-Want-Biden-.jpg,5.293052254273789e-07
53,JD Vance,https://1a-1791.com/video/fww1/fe/s8/1/B/U/P/L/BUPLy.oq1b.2-small-Shawn-Ryan-Bidens-Cancer-Ka.jpg,0.00013985102123115212
54,JD Vance,https://1a-1791.com/video/fww1/85/s8/1/V/_/t/W/V_tWy.oq1b.2-small-They-Did-This-Biden-Last-Mi.jpg,1.0558576377661666e-06
55,JD Vance,https://1a-1791.com/video/fww1/51/s8/1/X/c/6/O/Xc6Oy.oq1b.2-small-Devolution-Power-Hour-Ep.-3.jpg,0.00024933379609137774
56,JD Vance,https://1a-1791.com/video/fw/s8/1/P/E/B/j/PEBjv.oq1b.2-small-Biden-Gives-a-Giant-Middle-.jpg,5.415390447183199e-08
57,JD Vance,https://1a-1791.com/video/fwe1/0c/s8/1/k/R/9/N/kR9Nw.oq1b.2-small-Biden-Is-Destroying-The-Cou.jpg,5.087705972073309e-07
58,JD Vance,https://1a-1791.com/video/fww1/42/s8/1/m/M/2/t/mM2ty.oq1b.2-small--From-Hunter-Bidens-Securit.jpg,5.197732799722132e-10
59,JD Vance,https://1a-1791.com/video/fw/s8/1/z/6/R/l/z6Rlv.oq1b.2-small-Bidens-Reign-Of-Destruction.jpg,3.5040645798289916e-06
60,JD Vance,https://1a-1791.com/video/fww1/9e/s8/1/9/r/p/X/9rpXy.oq1b.2-small-HATIANS.jpg,1.7563007759235916e-07
61,JD Vance,https://1a-1791.com/video/fww1/3d/s8/1/c/J/1/t/cJ1ty.oq1b.2-small-Tucker-Carlson-on-the-Biden.jpg,2.603686652946635e-06
62,JD Vance,https://1a-1791.com/video/fww1/57/s8/1/V/v/i/O/VviOy.oq1b.2-small-Democrats-NEW-CON-Tapper-Cl.jpg,1.8790873301810507e-09
63,JD Vance,https://1a-1791.com/video/fww1/d0/s8/1/V/t/2/I/Vt2Iy.oq1b.2-small-Biden-Resurfaces-In-Mind-Bo.jpg,5.09968201001243e-09
64,JD Vance,https://1a-1791.com/video/fww1/4a/s8/1/D/g/M/G/DgMGy.oq1b.2-small-Which-Cabinet-Member-Was-Th.jpg,1.1388528037059586e-05
65,JD Vance,https://1a-1791.com/video/fww1/46/s8/1/9/W/O/P/9WOPy.oq1b.b-small-Trump-SLAMS-Biden-Over-Boul.jpg,3.101060883636819e-07
66,Joe Biden,https://1a-1791.com/video/fww1/cb/s8/1/J/C/h/X/JChXy.oq1b.5-small-Is-The-Biden-Autopen-Scanda.jpg,3.0265990062616765e-05
67,Joe Biden,https://1a-1791.com/video/fww1/6a/s8/1/f/E/H/P/fEHPy.oq1b.2-small-6.2.25-NO-Joe-Biden-Watch-t.jpg,
68,Joe Biden,https://1a-1791.com/video/fww1/b5/s8/1/J/c/1/R/Jc1Ry.oq1b.2-small-LIVE-WITH-JULIE.jpg,1.5805265718427108e-07
69,Joe Biden,https://1a-1791.com/video/fww1/e9/s8/1/l/X/Y/L/lXYLy.oq1b.2-small--Explaining-the-Black-Fatig.jpg,1.0747543655043046e-07
70,Joe Biden,https://1a-1791.com/video/fww1/8b/s8/1/P/9/F/L/P9FLy.oq1b.5-small--Joe-Bidens-Cancer-Diagnosi.jpg,1.5578788747916406e-07
71,Joe Biden,https://1a-1791.com/video/fww1/b3/s8/1/B/r/P/U/BrPUy.oq1b.1-small-Hidin-Joe-Biden.jpg,3.736065323778348e-08
72,Joe Biden,https://1a-1791.com/video/fww1/03/s8/1/h/w/0/U/hw0Uy.oq1b.2-small-Dems-Boycott-Probe-on-Biden.jpg,1.260408595271656e-07
73,Joe Biden,https://1a-1791.com/video/fww1/2a/s8/1/T/H/O/W/THOWy.oq1b.2-small-Biden-Aid-CONFESSES-to-Cong.jpg,1.0509011190151796e-06
74,Joe Biden,https://1a-1791.com/video/s8/1/D/q/m/a/Dqmau.oq1b.2-small-Its-So-Bad-They-Want-Biden-.jpg,5.293052254273789e-07
75,Joe Biden,https://1a-1791.com/video/fww1/fe/s8/1/B/U/P/L/BUPLy.oq1b.2-small-Shawn-Ryan-Bidens-Cancer-Ka.jpg,0.00013985102123115212
76,Joe Biden,https://1a-1791.com/video/fww1/51/s8/1/X/c/6/O/Xc6Oy.oq1b.2-small-Devolution-Power-Hour-Ep.-3.jpg,0.00024933379609137774
77,Joe Biden,https://1a-1791.com/video/fww1/85/s8/1/V/_/t/W/V_tWy.oq1b.2-small-They-Did-This-Biden-Last-Mi.jpg,1.0558576377661666e-06
78,Joe Biden,https://1a-1791.com/video/fw/s8/1/P/E/B/j/PEBjv.oq1b.2-small-Biden-Gives-a-Giant-Middle-.jpg,5.415390447183199e-08
79,Joe Biden,https://1a-1791.com/video/fwe1/0c/s8/1/k/R/9/N/kR9Nw.oq1b.2-small-Biden-Is-Destroying-The-Cou.jpg,5.087705972073309e-07
80,Joe Biden,https://1a-1791.com/video/fww1/42/s8/1/m/M/2/t/mM2ty.oq1b.2-small--From-Hunter-Bidens-Securit.jpg,5.197732799722132e-10
81,Joe Biden,https://1a-1791.com/video/fw/s8/1/z/6/R/l/z6Rlv.oq1b.2-small-Bidens-Reign-Of-Destruction.jpg,3.5040645798289916e-06
82,Joe Biden,https://1a-1791.com/video/fww1/9e/s8/1/9/r/p/X/9rpXy.oq1b.2-small-HATIANS.jpg,1.7563007759235916e-07
83,Joe Biden,https://1a-1791.com/video/fww1/3d/s8/1/c/J/1/t/cJ1ty.oq1b.2-small-Tucker-Carlson-on-the-Biden.jpg,2.603686652946635e-06
84,Joe Biden,https://1a-1791.com/video/fww1/57/s8/1/V/v/i/O/VviOy.oq1b.2-small-Democrats-NEW-CON-Tapper-Cl.jpg,1.8790873301810507e-09
85,Joe Biden,https://1a-1791.com/video/fww1/d0/s8/1/V/t/2/I/Vt2Iy.oq1b.2-small-Biden-Resurfaces-In-Mind-Bo.jpg,5.09968201001243e-09
86,Joe Biden,https://1a-1791.com/video/fww1/4a/s8/1/D/g/M/G/DgMGy.oq1b.2-small-Which-Cabinet-Member-Was-Th.jpg,1.1388528037059586e-05
87,Joe Biden,https://1a-1791.com/video/fww1/46/s8/1/9/W/O/P/9WOPy.oq1b.b-small-Trump-SLAMS-Biden-Over-Boul.jpg,3.101060883636819e-07
88,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/cb/s8/1/J/C/h/X/JChXy.oq1b.5-small-Is-The-Biden-Autopen-Scanda.jpg,3.0265990062616765e-05
89,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/6a/s8/1/f/E/H/P/fEHPy.oq1b.2-small-6.2.25-NO-Joe-Biden-Watch-t.jpg,
90,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/b5/s8/1/J/c/1/R/Jc1Ry.oq1b.2-small-LIVE-WITH-JULIE.jpg,1.5805265718427108e-07
91,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/e9/s8/1/l/X/Y/L/lXYLy.oq1b.2-small--Explaining-the-Black-Fatig.jpg,1.0747543655043046e-07
92,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/8b/s8/1/P/9/F/L/P9FLy.oq1b.5-small--Joe-Bidens-Cancer-Diagnosi.jpg,1.5578788747916406e-07
93,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/b3/s8/1/B/r/P/U/BrPUy.oq1b.1-small-Hidin-Joe-Biden.jpg,3.736065323778348e-08
94,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/2a/s8/1/T/H/O/W/THOWy.oq1b.2-small-Biden-Aid-CONFESSES-to-Cong.jpg,1.0509011190151796e-06
95,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/03/s8/1/h/w/0/U/hw0Uy.oq1b.2-small-Dems-Boycott-Probe-on-Biden.jpg,1.260408595271656e-07
96,"Catherine, Princess of Wales",https://1a-1791.com/video/s8/1/D/q/m/a/Dqmau.oq1b.2-small-Its-So-Bad-They-Want-Biden-.jpg,5.293052254273789e-07
97,"Catherine, Princess of Wales",https://1a-1791.com/video/fwe1/0c/s8/1/k/R/9/N/kR9Nw.oq1b.2-small-Biden-Is-Destroying-The-Cou.jpg,5.087705972073309e-07
98,"Catherine, Princess of Wales",https://1a-1791.com/video/fw/s8/1/P/E/B/j/PEBjv.oq1b.2-small-Biden-Gives-a-Giant-Middle-.jpg,5.415390447183199e-08
99,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/85/s8/1/V/_/t/W/V_tWy.oq1b.2-small-They-Did-This-Biden-Last-Mi.jpg,1.0558576377661666e-06
100,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/fe/s8/1/B/U/P/L/BUPLy.oq1b.2-small-Shawn-Ryan-Bidens-Cancer-Ka.jpg,0.00013985102123115212
101,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/51/s8/1/X/c/6/O/Xc6Oy.oq1b.2-small-Devolution-Power-Hour-Ep.-3.jpg,0.00024933379609137774
102,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/42/s8/1/m/M/2/t/mM2ty.oq1b.2-small--From-Hunter-Bidens-Securit.jpg,5.197732799722132e-10
103,"Catherine, Princess of Wales",https://1a-1791.com/video/fw/s8/1/z/6/R/l/z6Rlv.oq1b.2-small-Bidens-Reign-Of-Destruction.jpg,3.5040645798289916e-06
104,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/9e/s8/1/9/r/p/X/9rpXy.oq1b.2-small-HATIANS.jpg,1.7563007759235916e-07
105,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/3d/s8/1/c/J/1/t/cJ1ty.oq1b.2-small-Tucker-Carlson-on-the-Biden.jpg,2.603686652946635e-06
106,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/57/s8/1/V/v/i/O/VviOy.oq1b.2-small-Democrats-NEW-CON-Tapper-Cl.jpg,1.8790873301810507e-09
107,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/d0/s8/1/V/t/2/I/Vt2Iy.oq1b.2-small-Biden-Resurfaces-In-Mind-Bo.jpg,5.09968201001243e-09
108,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/4a/s8/1/D/g/M/G/DgMGy.oq1b.2-small-Which-Cabinet-Member-Was-Th.jpg,1.1388528037059586e-05
109,"Catherine, Princess of Wales",https://1a-1791.com/video/fww1/46/s8/1/9/W/O/P/9WOPy.oq1b.b-small-Trump-SLAMS-Biden-Over-Boul.jpg,3.101060883636819e-07
110,Tim Walz,https://1a-1791.com/video/fww1/cb/s8/1/J/C/h/X/JChXy.oq1b.5-small-Is-The-Biden-Autopen-Scanda.jpg,3.0265990062616765e-05
111,Tim Walz,https://1a-1791.com/video/fww1/6a/s8/1/f/E/H/P/fEHPy.oq1b.2-small-6.2.25-NO-Joe-Biden-Watch-t.jpg,
112,Tim Walz,https://1a-1791.com/video/fww1/b5/s8/1/J/c/1/R/Jc1Ry.oq1b.2-small-LIVE-WITH-JULIE.jpg,1.5805265718427108e-07
113,Tim Walz,https://1a-1791.com/video/fww1/e9/s8/1/l/X/Y/L/lXYLy.oq1b.2-small--Explaining-the-Black-Fatig.jpg,1.0747543655043046e-07
114,Tim Walz,https://1a-1791.com/video/fww1/8b/s8/1/P/9/F/L/P9FLy.oq1b.5-small--Joe-Bidens-Cancer-Diagnosi.jpg,1.5578788747916406e-07
115,Tim Walz,https://1a-1791.com/video/fww1/b3/s8/1/B/r/P/U/BrPUy.oq1b.1-small-Hidin-Joe-Biden.jpg,3.736065323778348e-08
116,Tim Walz,https://1a-1791.com/video/fww1/2a/s8/1/T/H/O/W/THOWy.oq1b.2-small-Biden-Aid-CONFESSES-to-Cong.jpg,1.0509011190151796e-06
117,Tim Walz,https://1a-1791.com/video/fww1/03/s8/1/h/w/0/U/hw0Uy.oq1b.2-small-Dems-Boycott-Probe-on-Biden.jpg,1.260408595271656e-07
118,Tim Walz,https://1a-1791.com/video/s8/1/D/q/m/a/Dqmau.oq1b.2-small-Its-So-Bad-They-Want-Biden-.jpg,5.293052254273789e-07
119,Tim Walz,https://1a-1791.com/video/fwe1/0c/s8/1/k/R/9/N/kR9Nw.oq1b.2-small-Biden-Is-Destroying-The-Cou.jpg,5.087705972073309e-07
120,Tim Walz,https://1a-1791.com/video/fw/s8/1/P/E/B/j/PEBjv.oq1b.2-small-Biden-Gives-a-Giant-Middle-.jpg,5.415390447183199e-08
121,Tim Walz,https://1a-1791.com/video/fww1/85/s8/1/V/_/t/W/V_tWy.oq1b.2-small-They-Did-This-Biden-Last-Mi.jpg,1.0558576377661666e-06
122,Tim Walz,https://1a-1791.com/video/fww1/fe/s8/1/B/U/P/L/BUPLy.oq1b.2-small-Shawn-Ryan-Bidens-Cancer-Ka.jpg,0.00013985102123115212
123,Tim Walz,https://1a-1791.com/video/fww1/51/s8/1/X/c/6/O/Xc6Oy.oq1b.2-small-Devolution-Power-Hour-Ep.-3.jpg,0.00024933379609137774
124,Tim Walz,https://1a-1791.com/video/fww1/42/s8/1/m/M/2/t/mM2ty.oq1b.2-small--From-Hunter-Bidens-Securit.jpg,5.197732799722132e-10
125,Tim Walz,https://1a-1791.com/video/fw/s8/1/z/6/R/l/z6Rlv.oq1b.2-small-Bidens-Reign-Of-Destruction.jpg,3.5040645798289916e-06
126,Tim Walz,https://1a-1791.com/video/fww1/9e/s8/1/9/r/p/X/9rpXy.oq1b.2-small-HATIANS.jpg,1.7563007759235916e-07
127,Tim Walz,https://1a-1791.com/video/fww1/3d/s8/1/c/J/1/t/cJ1ty.oq1b.2-small-Tucker-Carlson-on-the-Biden.jpg,2.603686652946635e-06
128,Tim Walz,https://1a-1791.com/video/fww1/57/s8/1/V/v/i/O/VviOy.oq1b.2-small-Democrats-NEW-CON-Tapper-Cl.jpg,1.8790873301810507e-09
129,Tim Walz,https://1a-1791.com/video/fww1/d0/s8/1/V/t/2/I/Vt2Iy.oq1b.2-small-Biden-Resurfaces-In-Mind-Bo.jpg,5.09968201001243e-09
130,Tim Walz,https://1a-1791.com/video/fww1/4a/s8/1/D/g/M/G/DgMGy.oq1b.2-small-Which-Cabinet-Member-Was-Th.jpg,1.1388528037059586e-05
131,Tim Walz,https://1a-1791.com/video/fww1/46/s8/1/9/W/O/P/9WOPy.oq1b.b-small-Trump-SLAMS-Biden-Over-Boul.jpg,3.101060883636819e-07
132,Mike Tyson,https://1a-1791.com/video/fww1/cb/s8/1/J/C/h/X/JChXy.oq1b.5-small-Is-The-Biden-Autopen-Scanda.jpg,3.0265990062616765e-05
133,Mike Tyson,https://1a-1791.com/video/fww1/6a/s8/1/f/E/H/P/fEHPy.oq1b.2-small-6.2.25-NO-Joe-Biden-Watch-t.jpg,
134,Mike Tyson,https://1a-1791.com/video/fww1/b5/s8/1/J/c/1/R/Jc1Ry.oq1b.2-small-LIVE-WITH-JULIE.jpg,1.5805265718427108e-07
135,Mike Tyson,https://1a-1791.com/video/fww1/e9/s8/1/l/X/Y/L/lXYLy.oq1b.2-small--Explaining-the-Black-Fatig.jpg,1.0747543655043046e-07
136,Mike Tyson,https://1a-1791.com/video/fww1/8b/s8/1/P/9/F/L/P9FLy.oq1b.5-small--Joe-Bidens-Cancer-Diagnosi.jpg,1.5578788747916406e-07
137,Mike Tyson,https://1a-1791.com/video/fww1/b3/s8/1/B/r/P/U/BrPUy.oq1b.1-small-Hidin-Joe-Biden.jpg,3.736065323778348e-08
138,Mike Tyson,https://1a-1791.com/video/fww1/2a/s8/1/T/H/O/W/THOWy.oq1b.2-small-Biden-Aid-CONFESSES-to-Cong.jpg,1.0509011190151796e-06
139,Mike Tyson,https://1a-1791.com/video/fww1/03/s8/1/h/w/0/U/hw0Uy.oq1b.2-small-Dems-Boycott-Probe-on-Biden.jpg,1.260408595271656e-07
140,Mike Tyson,https://1a-1791.com/video/s8/1/D/q/m/a/Dqmau.oq1b.2-small-Its-So-Bad-They-Want-Biden-.jpg,5.293052254273789e-07
141,Mike Tyson,https://1a-1791.com/video/fwe1/0c/s8/1/k/R/9/N/kR9Nw.oq1b.2-small-Biden-Is-Destroying-The-Cou.jpg,5.087705972073309e-07
142,Mike Tyson,https://1a-1791.com/video/fw/s8/1/P/E/B/j/PEBjv.oq1b.2-small-Biden-Gives-a-Giant-Middle-.jpg,5.415390447183199e-08
143,Mike Tyson,https://1a-1791.com/video/fww1/85/s8/1/V/_/t/W/V_tWy.oq1b.2-small-They-Did-This-Biden-Last-Mi.jpg,1.0558576377661666e-06
144,Mike Tyson,https://1a-1791.com/video/fww1/fe/s8/1/B/U/P/L/BUPLy.oq1b.2-small-Shawn-Ryan-Bidens-Cancer-Ka.jpg,0.00013985102123115212
145,Mike Tyson,https://1a-1791.com/video/fww1/51/s8/1/X/c/6/O/Xc6Oy.oq1b.2-small-Devolution-Power-Hour-Ep.-3.jpg,0.00024933379609137774
146,Mike Tyson,https://1a-1791.com/video/fww1/42/s8/1/m/M/2/t/mM2ty.oq1b.2-small--From-Hunter-Bidens-Securit.jpg,5.197732799722132e-10
147,Mike Tyson,https://1a-1791.com/video/fw/s8/1/z/6/R/l/z6Rlv.oq1b.2-small-Bidens-Reign-Of-Destruction.jpg,3.5040645798289916e-06
148,Mike Tyson,https://1a-1791.com/video/fww1/9e/s8/1/9/r/p/X/9rpXy.oq1b.2-small-HATIANS.jpg,1.7563007759235916e-07
149,Mike Tyson,https://1a-1791.com/video/fww1/3d/s8/1/c/J/1/t/cJ1ty.oq1b.2-small-Tucker-Carlson-on-the-Biden.jpg,2.603686652946635e-06
150,Mike Tyson,https://1a-1791.com/video/fww1/57/s8/1/V/v/i/O/VviOy.oq1b.2-small-Democrats-NEW-CON-Tapper-Cl.jpg,1.8790873301810507e-09
151,Mike Tyson,https://1a-1791.com/video/fww1/d0/s8/1/V/t/2/I/Vt2Iy.oq1b.2-small-Biden-Resurfaces-In-Mind-Bo.jpg,5.09968201001243e-09
152,Mike Tyson,https://1a-1791.com/video/fww1/4a/s8/1/D/g/M/G/DgMGy.oq1b.2-small-Which-Cabinet-Member-Was-Th.jpg,1.1388528037059586e-05
153,Mike Tyson,https://1a-1791.com/video/fww1/46/s8/1/9/W/O/P/9WOPy.oq1b.b-small-Trump-SLAMS-Biden-Over-Boul.jpg,3.101060883636819e-07
154,Jill Stein,https://1a-1791.com/video/fww1/cb/s8/1/J/C/h/X/JChXy.oq1b.5-small-Is-The-Biden-Autopen-Scanda.jpg,3.0265990062616765e-05
