ppl,position,title,link,channel,published_date,views,thumbnail
Kamala Harris,,FULL VIDEO: Beyonce speaks at Kamala Harris rally in Houston,https://www.youtube.com/watch?v=MydUfvYWh2I,FOX 26 Houston,,274640,https://i.ytimg.com/vi/MydUfvYWh2I/hq720.jpg?sqp=-oaymwFBCOgCEMoBSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGGUgTShDMA8=&rs=AOn4CLCWHF4M0oW1ItEQ-7P2T-0WOlGS2g
Kamala Harris,,"Kamala Harris Called Security to Kick Pam Bondi Out—But She Speaks First, Shocking Everyone!",https://www.youtube.com/watch?v=07WR9Nqqr-U,Noble Stories,,85630,https://i.ytimg.com/vi/07WR9Nqqr-U/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD7RNr8Hjg0Jjvf3g2CEukP8ymffw
Kamala Harris,,MUST WATCH: Kamala Harris' Disastrous Interview with Fox News,https://www.youtube.com/watch?v=aLC2XjW_Z08,Donald J Trump,,1456651,https://i.ytimg.com/vi/aLC2XjW_Z08/hq720.jpg?sqp=-oaymwFBCOgCEMoBSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGHIgRSgxMA8=&rs=AOn4CLDAiCGSge355C6Kea84ns-141ScQg
Kamala Harris,,KAMALA HARRIS caught undercover: VP listens in on crucial OBAMA-TRUMP dialogue,https://www.youtube.com/watch?v=MzwZbNN8CfY,Diario AS,,8317,https://i.ytimg.com/vi/MzwZbNN8CfY/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDVW9Wu_VEn4SzFu0r83QcewnxW9w
Kamala Harris,,Why Kamala Harris Lost A Brutal Reality Check,https://www.youtube.com/watch?v=1nZefTLJpU4,Kevin O'Leary,,3075488,https://i.ytimg.com/vi/1nZefTLJpU4/hq720_2.jpg?sqp=-oaymwFBCOgCEMoBSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgQyg5MA8=&rs=AOn4CLAPx7U1qRxYAO-UTFUBYvavAUfeYA
Kamala Harris,,"Watch Kamala Harris' viral ""coconut tree"" remarks",https://www.youtube.com/watch?v=0bSTqokjNEE,CBS News,,1646610,https://i.ytimg.com/vi/0bSTqokjNEE/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCCYijhdwOm2txaLnAiqX5Azs-20g
Kamala Harris,,Kamala Harris and her family appear at Faithful Central Bible Church on Easter Sunday,https://www.youtube.com/watch?v=D_B2rqQ-tXY,KCAL News,,8901,https://i.ytimg.com/vi/D_B2rqQ-tXY/hq720_2.jpg?sqp=-oaymwFBCOgCEMoBSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGD4gVihyMA8=&rs=AOn4CLBKXrdoLCfrxntOOH0iqg1GGrFNyQ
Kamala Harris,,Did Taylor Swift actually endorse Kamala Harris?,https://www.youtube.com/watch?v=pxr-THfcM_M,NBC News,,86945,https://i.ytimg.com/vi/pxr-THfcM_M/hq720.jpg?sqp=-oaymwFBCOgCEMoBSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGDMgOyh_MA8=&rs=AOn4CLB7RCpkmyhCFO9KroR2aCI-2-1DDQ
Kamala Harris,,Kamala Harris delivers keynote address in first major speech since losing 2024 election | Watch live,https://www.youtube.com/watch?v=f-Pn6gKuFBE,New York Post,,37144,https://i.ytimg.com/vi/f-Pn6gKuFBE/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAZAr82Q8yGiG0kBcuROU31n7XbPg
Kamala Harris,,Comer asks Walz if he ever asked Kamala Harris about Biden's 'cognitive decline',https://www.youtube.com/watch?v=txTNt17cFLA,The Washington Examiner,,627,https://i.ytimg.com/vi/txTNt17cFLA/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCssO2TKYcijdMTY-pHyVk03bGZLQ
Kamala Harris,,'Haven't Said That Name In A While—Kamala': Trump Brings Up Former Vice President In Remarks To CPAC,https://www.youtube.com/watch?v=FXeIC6Y3FLY,Forbes Breaking News,,42814,https://i.ytimg.com/vi/FXeIC6Y3FLY/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDfp_zSb7ZGBgDyS38eo_zQighQ5g
Kamala Harris,,How Kamala Harris' campaign is reacting to Trump's projected win,https://www.youtube.com/watch?v=CqPYUMkicks,CBS News,,443514,https://i.ytimg.com/vi/CqPYUMkicks/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAkhwqfXdVcPiBKxnFMW1_h1qWcBw
Kamala Harris,,WATCH: Speaker Johnson Reacts To Notion Of Kamala Harris And AOC Running For President In 2028,https://www.youtube.com/watch?v=1Myqrtxfn4g,Forbes Breaking News,,134656,https://i.ytimg.com/vi/1Myqrtxfn4g/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDus-ZcPC0YOXu8sjiAeLO5wtUoNw
Kamala Harris,,On the trail with the Boss (and President Obama).,https://www.youtube.com/watch?v=4o6V4dThDhU,Kamala Harris,,4975532,https://i.ytimg.com/vi/4o6V4dThDhU/hq720.jpg?sqp=-oaymwFBCOgCEMoBSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGBMgMyh_MA8=&rs=AOn4CLCgzvpnLbqhLtlO5yXTfDgz953KSA
Kamala Harris,,WATCH: Biden & Kamala Harris Enjoy Final Moments In Office Before Trump Takes Oath | Inauguration,https://www.youtube.com/watch?v=WF36n92JGug,Forbes Breaking News,,24673,https://i.ytimg.com/vi/WF36n92JGug/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAc8TVZPjz5-FGCZCB15uvWfmQOIw
Kamala Harris,,KAMALA HARRIS inspires BROADWAY cast of 'A Wonderful World' with message of HOPE and RESILIENCE,https://www.youtube.com/watch?v=Ud_3o1yKVWY,Diario AS,,27100,https://i.ytimg.com/vi/Ud_3o1yKVWY/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDvYyhKTy_2cgncgFGBLiu0JG2BUw
Kamala Harris,,Kamala Harris destroyed for calling LA anti-ICE riots ‘overwhelmingly peaceful’,https://www.youtube.com/watch?v=6lDR1mDLm-A,Sky News Australia,,82685,https://i.ytimg.com/vi/6lDR1mDLm-A/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCe3AZdyHXISWjQLbZ9vE71yQGzpg
Kamala Harris,,Trump uses Kamala Harris’ own words against her,https://www.youtube.com/watch?v=D0vcdRvJj8o,Fox News,,165767,https://i.ytimg.com/vi/D0vcdRvJj8o/hq720.jpg?sqp=-oaymwEnCOgCEMoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBHHN7q2HP_NCXFotoir30PeFHceQ
Kamala Harris,,Kamala Harris Just Said… Absolutely Nothing,https://www.youtube.com/watch?v=THMYW9ZgfO8,Valuetainment,,90188,https://i.ytimg.com/vi/THMYW9ZgfO8/hq720.jpg?sqp=-oaymwFBCOgCEMoBSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGHIgUyg8MA8=&rs=AOn4CLA9C8BxgVxQbWMdScy8zEuxwW2vAQ
Kamala Harris,,Gov. Tim Walz believes Kamala Harris was the 'most qualified' presidential candidate #news #shorts,https://www.youtube.com/watch?v=1v7DwcuohxA,Fox News,,163419,https://i.ytimg.com/vi/1v7DwcuohxA/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARg2IEoofzAP&rs=AOn4CLA3gkhgEqf8OOEMT4WnxJbdGRQUYQ
Kamala Harris,,Kamala Harris Considering Campaign For...,https://www.youtube.com/watch?v=h4Z2B1XyUWU,The Young Turks,,40463,https://i.ytimg.com/vi/h4Z2B1XyUWU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4pTy3OQ4tqhGdSKG5Rc7ZZCIkRA
Kamala Harris,,Former President Biden speaks on Kamala Harris election loss on 'The View',https://www.youtube.com/watch?v=xYv_YPU963Q,ABC News,,36960,https://i.ytimg.com/vi/xYv_YPU963Q/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgnIDkofzAP&rs=AOn4CLD1BCfuPHb-UF8EUscnDNqgt2LmUg
Kamala Harris,,"FLASHBACK: Kamala Harris Rips Robert Hur's Biden Report: 'Gratuitous, Inaccurate, & Inappropriate'",https://www.youtube.com/watch?v=dsZkJkYp6RQ,Forbes Breaking News,,14219,https://i.ytimg.com/vi/dsZkJkYp6RQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDX7io4d5sNBp-7uEOYf6WMK0UHmA
Kamala Harris,,The Kamala Harris Story | 2024 Democratic National Convention,https://www.youtube.com/watch?v=_-xK1RR5V8s,Democratic National Convention,,468047,https://i.ytimg.com/vi/_-xK1RR5V8s/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhyIF0oPzAP&rs=AOn4CLDci8JN3M1WMXfr7aQ3qIn8iFB5lQ
Kamala Harris,,"FULL SPEECH: Kamala Harris at the Ellipse in Washington, DC",https://www.youtube.com/watch?v=kaE6FhbWVxM,ABC News,,1014321,https://i.ytimg.com/vi/kaE6FhbWVxM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByWI5Aho6fQqHRZTlCfSnO1zI4yw
Kamala Harris,,Kamala Harris addresses the DNC | DNC Party Officer Elections,https://www.youtube.com/watch?v=8jRwLSDUtOg,ONEST NETWORK,,198615,https://i.ytimg.com/vi/8jRwLSDUtOg/hqdefault.jpg?sqp=-oaymwE2COADEI4CSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgBogWAAooDigIMCAAQARhlIFQoSTAP&rs=AOn4CLDbdgub9ksTN3NSVh26xe9ahO32ig
Kamala Harris,,"WATCH: Beyoncé takes the stage at Kamala Harris event in Houston, Texas",https://www.youtube.com/watch?v=yHNRgOzOZ3A,PBS NewsHour,,892310,https://i.ytimg.com/vi/yHNRgOzOZ3A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2n4cMYQH58x_ZHYJ8Q7ENunV60A
